project_name,debian_source,debian_version,debian_desc,debian_home,CVE_since_2010,CVE_page,openhub_page,openhub_name,openhub_desc,openhub_home,openhub_download,twelve_month_contributor_count,total_contributor_count,total_code_lines,main_language_name,licenses,fact_activity,fact_age,fact_comments,fact_team_size,package_popularity,implemented_in,role,direct_network_exposure,process_network_data,potential_privilege_escalation,risk_index(max = 15),risk_index components,comment_on_priority
multiarch-support,eglibc,2.19-0ubuntu6.6,Transitional package to ensure multiarch compatibility,http://www.eglibc.org,50,https://security-tracker.debian.org/tracker/source-package/eglibc,https://www.openhub.net/projects/eglibc,EGLIBC,"Embedded GLIBC (EGLIBC) is a variant of the GNU C Library (GLIBC)  that is designed to work well on embedded systems. EGLIBC strives to be source and binary compatible with GLIBC. EGLIBC's goals include reduced footprint, configurable components, better support for cross-compilation and cross-testing.",http://www.eglibc.org/,,0,12,1239262,C,,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,No recent development activity,148819,,,0,0,0,12,"Website points: 0, CVE: 3, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
rsync,,3.1.0-2ubuntu0.1,"fast, versatile, remote (and local) file-copying tool",http://rsync.samba.org/,3,https://security-tracker.debian.org/tracker/source-package/rsync,https://www.openhub.net/projects/rsync,rsync,rsync is an open source utility that provides fast incremental file transfer.,http://samba.anu.edu.au/rsync/,,3,15,48848,C,GNU General Public License v2.0 or later,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,Small development team,102393,,,1,0,0,12,"Website points: 0, CVE: 2, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0",
udev,systemd,204-5ubuntu20.14,/dev/ and hotplug management daemon,http://www.freedesktop.org/wiki/Software/systemd,8,https://security-tracker.debian.org/tracker/source-package/systemd,https://www.openhub.net/projects/udev,udev,Managing device nodes in /dev on Linux.,http://www.freedesktop.org/software/systemd/man/udev.html,http://www.kernel.org/pub/linux/utils/kernel/hotplug/,0,224,23505,C,GNU General Public License v2.0 or later GNU Lesser General Public License v2.1 or later,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,No recent development activity,175429,,,0,0,0,12,"Website points: 0, CVE: 3, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
acpid,,1:2.0.21-1ubuntu2,Advanced Configuration and Power Interface event daemon,http://www.tedfelix.com/linux/acpid-netlink.html,3,https://security-tracker.debian.org/tracker/source-package/acpid,https://www.openhub.net/projects/acpid,ACPI Daemon,"ACPID is a completely flexible, totally extensible daemon for delivering ACPI events. It listens on netlink interface (or on the deprecated file /proc/acpi/event), and when an event occurs, executes programs to handle the event.",http://sourceforge.net/projects/acpid2/,,3,7,4824,C,GNU General Public License v2.0 only,Decreasing Y-O-Y development activity,Well-established codebase,Well-commented source code,Small development team,164723,,,0,0,1,11,"Website points: 0, CVE: 2, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 1 , Data only: 0",Provides data on local hardware. Conceivably might allow local raise in privilege.
bash,,4.3-7ubuntu1.5,GNU Bourne Again SHell,http://tiswww.case.edu/php/chet/bash/bashtop.html,8,https://security-tracker.debian.org/tracker/source-package/bash,https://www.openhub.net/projects/bash,Bash,"Bash is an sh-compatible command language interpreter that executes commands read from the standard input or from a file.  Bash also incorporates useful features from the Korn and C shells (ksh and csh).

Bash is ultimately intended to be a conformant implementation of the IEEE POSIX Shell and Tools specification (IEEE Working Group 1003.2).",http://www.gnu.org/software/bash/,http://ftp.gnu.org/gnu/bash/,1,2,175827,C,GNU General Public License v2.0 or later,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,Only a single active developer,175842,,,0,0,0,11,"Website points: 0, CVE: 3, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
cpio,,2.11+dfsg-1ubuntu1.1,GNU cpio -- a program to manage archives of files,http://www.gnu.org/software/cpio/,3,https://security-tracker.debian.org/tracker/source-package/cpio,https://www.openhub.net/projects/cpio,GNU cpio,GNU cpio is an archiver program that handles cpio and tar archives.,http://savannah.gnu.org/projects/cpio/,,1,5,6843,C,GNU General Public License v3.0 or later,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,Only a single active developer,175720,,,0,1,0,11,"Website points: 0, CVE: 2, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 1 , Data only: 0","Decompression software. Isolated cpio format uncommon today, but RPMs are based on it."
file,,1:5.14-2ubuntu3.3,"Determines file type using ""magic"" numbers",http://www.darwinsys.com/file/,24,https://security-tracker.debian.org/tracker/source-package/file,https://www.openhub.net/projects/file,file,"File tests each argument in an attempt to classify it. There are three sets of tests, performed in this order: filesystem tests, magic number tests, and language tests. The first test that succeeds causes the file type to be printed.
Starting with version 4, the file command is not much more than a wrapper around the ""magic"" library.",http://www.darwinsys.com/file/,http://www.darwinsys.com/file/,1,6,14005,C,"BSD 3-clause ""New"" or ""Revised"" License",Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,Only a single active developer,173048,,,0,0,0,11,"Website points: 0, CVE: 3, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
libcap2,,1:2.24-0ubuntu2,support for getting/setting POSIX.1e capabilities,http://sites.google.com/site/fullycapable/,1,https://security-tracker.debian.org/tracker/source-package/libcap2,https://www.openhub.net/projects/libcap,libcap,libcap implements the user-space interfaces to the POSIX 1003.1e capabilities available in Linux kernels. These capabilities are a partitioning of the all powerful root privilege into a set of distinct privileges.,https://sites.google.com/site/fullycapable/,,0,19,3461,C,"BSD 3-clause ""New"" or ""Revised"" License",Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,No recent development activity,173018,,,0,0,1,11,"Website points: 0, CVE: 1, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 1 , Data only: 0",Implemented by kernel.  Less likely to have issues here.
libfuse2,fuse,2.9.2-4ubuntu4.14.04.1,Filesystem in Userspace (library),http://fuse.sourceforge.net/,6,https://security-tracker.debian.org/tracker/source-package/fuse,https://www.openhub.net/projects/fuse,FUSE,Filesystem in Userspace is a simple interface for userspace programs to export a virtual filesystem to the Linux kernel. It also aims to provide a secure method for non privileged users to create and mount their own filesystem implementations.,http://fuse.sourceforge.net,,3,45,33593,C,"GNU General Public License v2.0 or later GNU Library or ""Lesser"" GPL (LGPL)",Decreasing Y-O-Y development activity,"Mature, well-established codebase",Few source code comments,Small development team,154195,,,0,0,0,11,"Website points: 0, CVE: 3, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
libmagic1,file,1:5.14-2ubuntu3.3,"File type determination library using ""magic"" numbers",http://www.darwinsys.com/file/,24,https://security-tracker.debian.org/tracker/source-package/file,https://www.openhub.net/projects/file,file,"File tests each argument in an attempt to classify it. There are three sets of tests, performed in this order: filesystem tests, magic number tests, and language tests. The first test that succeeds causes the file type to be printed.
Starting with version 4, the file command is not much more than a wrapper around the ""magic"" library.",http://www.darwinsys.com/file/,http://www.darwinsys.com/file/,1,6,14005,C,"BSD 3-clause ""New"" or ""Revised"" License",Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,Only a single active developer,173808,,,0,0,0,11,"Website points: 0, CVE: 3, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
libsqlite3-0,sqlite3,3.8.2-1ubuntu2.1,SQLite 3 shared library,http://www.sqlite.org/,4,https://security-tracker.debian.org/tracker/source-package/sqlite3,https://www.openhub.net/projects/sqlite,SQLite,"SQLite is a small C library that implements a self-contained, embeddable, zero-configuration SQL database engine. Implements most of SQL92 and ACID (atomic, consistent, isolated, and durable) transactions; no setup or administration needed.",http://sqlite.org/,http://sqlite.org/download.html,3,30,235808,C,Public Domain / GPL When Compiled,Stable Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,Small development team,174910,,,0,0,0,11,"Website points: 0, CVE: 3, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
patch,,2.7.1-4ubuntu2.3,Apply a diff file to an original,,6,https://security-tracker.debian.org/tracker/source-package/patch,https://www.openhub.net/projects/diffutils,GNU Diff Utilities,"The GNU diffutils are comprised of diff, diff3, sdiff, and cmp, utilities for showing differences between files. The manual also documents patch, which uses diff output to update files.",http://savannah.gnu.org/projects/diffutils,http://ftp.gnu.org/gnu/diffutils/,3,17,9727,C,GNU General Public License v2.0 or later,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,Small development team,167060,,,0,0,0,11,"Website points: 0, CVE: 3, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
postfix,,2.11.0-1ubuntu1,High-performance mail transport agent,http://www.postfix.org,3,https://security-tracker.debian.org/tracker/source-package/postfix,https://www.openhub.net/projects/postfix,Postfix,"Postfix is Wietse Venema's mailer that started life as an alternative to the widely-used Sendmail program. Postfix attempts to be fast, easy to administer, and secure, while at the same time being sendmail compatible enough to not upset existing users. Thus, the outside has a sendmail-ish flavor, but the inside is completely different.",http://www.postfix.org/,http://www.postfix.org/download.html,2,3,217178,C,IBM Public License,Stable Y-O-Y development activity,"Mature, well-established codebase",Very well-commented source code,Small development team,30056,,,1,0,0,11,"Website points: 0, CVE: 2, 12-month contributor: 4, Popularity: 1, Language: 2, Exposure: 2 , Data only: 0","This is a widely-used mail transfer agent (MTA).
Postfix was created by Wietse Venema, main site www.postfix.org.  On February 8, 2015 Postfix released 3.0.0, so currently active.  Developer mailing list postfix-devel has activity. (e.g., http://news.gmane.org/gmane.mail.postfix.devel/cutoff=2948).  There is no public repo; Wietse (the lead developer) does not want to allow any external review before formal release, as noted in https://groups.google.com/forum/#!topic/mailing.postfix.users/6Kkel3J_nv4 (The Debian package may be an obsolete fork; the Debian package has been assembled by LaMont Jones from sources available from http://www.postfix.org, and can be cloned from git via: git clone git://git.debian.org/~lamont/postfix.git.  Changes on http://anonscm.debian.org/cgit/users/lamont/postfix.git/log/ in git stop in 2011.) ++"
python-soappy,,0.12.0-4,SOAP Support for Python,http://pywebsvcs.sourceforge.net/,2,https://security-tracker.debian.org/tracker/source-package/python-soappy,https://www.openhub.net/projects/python-soappy,python-soappy,,,,0,7,8587,Python,,Stable Y-O-Y development activity,Well-established codebase,Average number of code comments,No recent development activity,132671,,,1,0,0,11,"Website points: 0, CVE: 2, 12-month contributor: 5, Popularity: 2, Language: 0, Exposure: 2 , Data only: 0",
virtualbox-guest-dkms,virtualbox,4.3.10-dfsg-1ubuntu5,x86 virtualization solution - guest addition module source for dkms,http://www.virtualbox.org/,27,https://security-tracker.debian.org/tracker/source-package/virtualbox,https://www.openhub.net/projects/virtualbox,Oracle VM VirtualBox,"Oracle VM VirtualBox is a family of powerful x86 virtualization products for enterprise as well as home use. VirtualBox is an extremely feature rich, high performance product for enterprise customers.

VirtualBox runs on Windows, Linux, Mac OS X and Solaris hosts in both 32-bit and 64-bit modes. It supports a large number of guest operating systems including but not limited to Solaris, Windows, Linux, and OpenBSD.",http://www.virtualbox.org,http://www.virtualbox.org/wiki/Downloads,2,7,5778577,C,GNU General Public License v2.0 or later,Increasing Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,Small development team,5764,,,0,0,1,11,"Website points: 0, CVE: 3, 12-month contributor: 4, Popularity: 1, Language: 2, Exposure: 1 , Data only: 0",
virtualbox-guest-utils,virtualbox,4.3.10-dfsg-1ubuntu5,x86 virtualization solution - non-X11 guest utilities,http://www.virtualbox.org/,27,https://security-tracker.debian.org/tracker/source-package/virtualbox,https://www.openhub.net/projects/virtualbox,Oracle VM VirtualBox,"Oracle VM VirtualBox is a family of powerful x86 virtualization products for enterprise as well as home use. VirtualBox is an extremely feature rich, high performance product for enterprise customers.

VirtualBox runs on Windows, Linux, Mac OS X and Solaris hosts in both 32-bit and 64-bit modes. It supports a large number of guest operating systems including but not limited to Solaris, Windows, Linux, and OpenBSD.",http://www.virtualbox.org,http://www.virtualbox.org/wiki/Downloads,2,7,5778577,C,GNU General Public License v2.0 or later,Increasing Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,Small development team,6022,,,0,0,1,11,"Website points: 0, CVE: 3, 12-month contributor: 4, Popularity: 1, Language: 2, Exposure: 1 , Data only: 0",
virtualbox-guest-x11,virtualbox,4.3.10-dfsg-1ubuntu5,x86 virtualization solution - X11 guest utilities,http://www.virtualbox.org/,27,https://security-tracker.debian.org/tracker/source-package/virtualbox,https://www.openhub.net/projects/virtualbox,Oracle VM VirtualBox,"Oracle VM VirtualBox is a family of powerful x86 virtualization products for enterprise as well as home use. VirtualBox is an extremely feature rich, high performance product for enterprise customers.

VirtualBox runs on Windows, Linux, Mac OS X and Solaris hosts in both 32-bit and 64-bit modes. It supports a large number of guest operating systems including but not limited to Solaris, Windows, Linux, and OpenBSD.",http://www.virtualbox.org,http://www.virtualbox.org/wiki/Downloads,2,7,5778577,C,GNU General Public License v2.0 or later,Increasing Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,Small development team,5615,,,0,0,1,11,"Website points: 0, CVE: 3, 12-month contributor: 4, Popularity: 1, Language: 2, Exposure: 1 , Data only: 0",
acpi,,1.7-1,displays information on ACPI devices,http://sourceforge.net/projects/acpiclient,0,https://security-tracker.debian.org/tracker/source-package/acpi,https://www.openhub.net/projects/acpi,ACPI,"Linux ACPI client is a command-line tool, similar to the ""apm"" command, that provides information on battery status, AC power, and thermal readings.",http://grahame.angrygoats.net/acpi.shtml,,0,3,14813,C,,Stable Y-O-Y development activity,Well-established codebase,Average number of code comments,No recent development activity,154394,,,0,0,1,10,"Website points: 0, CVE: 0, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 1 , Data only: 0",Provides data on local hardware. Conceivably might allow local raise in privilege.
bouncycastle,,,,,4,https://security-tracker.debian.org/tracker/source-package/bouncycastle,https://www.openhub.net/projects/5523,Bouncy Castle,"Here at the Bouncy Castle, we believe in encryption. That's something that's near and dear to our hearts. We believe so strongly in encryption, that we've gone to the effort to provide some for everybody.",http://www.bouncycastle.org,,0,1,468546,Java,"BSD 3-clause ""New"" or ""Revised"" License",Decreasing Y-O-Y development activity,"Mature, well-established codebase",Few source code comments,No recent development activity,,,,1,0,0,10,"Website points: 0, CVE: 3, 12-month contributor: 5, Popularity: 0, Language: 0, Exposure: 2 , Data only: 0",
cron,,3.0pl1-124ubuntu2,process scheduling daemon,http://ftp.isc.org/isc/cron/,3,https://security-tracker.debian.org/tracker/source-package/cron,https://www.openhub.net/projects/pkg-cron,pkg-cron,This is the Debian GNU/Linux prepackaged and heavily modified version of Paul Vixie's cron subsystem.,https://alioth.debian.org/projects/pkg-cron/,,2,6,5367,C,GNU General Public License v2.0 or later,Increasing Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,Small development team,175529,,,0,0,0,10,"Website points: 0, CVE: 2, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
dmsetup,lvm2 (2.02.98-6ubuntu2),2:1.02.77-6ubuntu2,Linux Kernel Device Mapper userspace library,http://sources.redhat.com/lvm2/,1,https://security-tracker.debian.org/tracker/source-package/lvm2,https://www.openhub.net/projects/device-mapper,Device Mapper,"The userspace portion of device mapper, a generic framework to map one block device into another with sector granularity. Device mapper forms the foundation of LVM2 and EVMS, software RAIDs, dm-crypt disk encryption, and offers additional features such as file-system snapshots.",http://sources.redhat.com/dm,http://sources.redhat.com/dm,0,15,34138,C,GNU General Public License v2.0 or later,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,No recent development activity,168689,,,0,0,0,10,"Website points: 0, CVE: 1, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
gzip,,1.6-3ubuntu1,GNU compression utilities,,1,https://security-tracker.debian.org/tracker/source-package/gzip,https://www.openhub.net/projects/gzip,gzip,gzip (GNU zip) is a compression utility designed to be a replacement for compress. Its main advantages over compress are much better compression and freedom from patented algorithms. It has been adopted by the GNU project and is now relatively popular on the Internet.,http://www.gnu.org/software/gzip/,,2,15,8619,C,GNU General Public License v2.0 or later,Stable Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,Small development team,175847,,,0,1,0,10,"Website points: 0, CVE: 1, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 1 , Data only: 0","Widely-used compression/decompression.  Vital, a vulnerability here could be very serious. http://www.gnu.org/software/gzip/ Maintained on Savannah (http://savannah.gnu.org/projects/gzip/) using git. Last formal release was years ago (June 2013).  Multiple contributors, but not many. Current git contributions, but only a few a month (2015-02-08, 2015-01-02, 2014-11-10, 2014-10-10), and most seem to be small/trivial (document and syntax tweaks). +++"
iputils-ping,iputils,3:20121221-4ubuntu1.1,Tools to test the reachability of network hosts,,1,https://security-tracker.debian.org/tracker/source-package/iputils,https://www.openhub.net/projects/iputils,iputils,http://www.skbuff.net/iputils/,https://github.com/boocz3ch/iputils,https://github.com/boocz3ch/iputils/downloads,0,13,18123,C,,Stable Y-O-Y development activity,"Mature, well-established codebase",Few source code comments,No recent development activity,175366,,,0,0,0,10,"Website points: 0, CVE: 1, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
klibc-utils,klibc,2.0.3-0ubuntu1,small utilities built with klibc for early boot,http://git.kernel.org/?p=libs/klibc/klibc.git;a=summary,2,https://security-tracker.debian.org/tracker/source-package/klibc,https://www.openhub.net/projects/klibc,klibc,"klibc is intended to be a minimalistic libc subset for use with initramfs.  It is deliberately written for small size, minimal entanglement, and portability, not speed.  It is definitely a work in progress, and a lot of things are still missing.",http://en.wikipedia.org/wiki/Klibc,http://www.kernel.org/pub/linux/libs/klibc/,1,95,53134,C,"BSD 3-clause ""New"" or ""Revised"" License GNU General Public License v2.0 or later",Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,Only a single active developer,174552,,,0,0,0,10,"Website points: 0, CVE: 2, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
libapache2-mod-gnutls,mod-gnutls,0.5.10-4,Apache module for SSL and TLS encryption with GnuTLS,https://mod.gnutls.org/,1,https://security-tracker.debian.org/tracker/source-package/mod-gnutls,https://www.openhub.net/projects/mod_gnutls,mod_gnutls,"mod_gnutls uses the GnuTLS library to provide SSL 3.0, TLS 1.0 and TLS 1.1 and TLS 1.2 encryption for Apache HTTPD. It is similar to mod_ssl in purpose, but does not use OpenSSL.",http://www.outoforder.cc/projects/apache/mod_gnutls/,http://www.outoforder.cc/projects/apache/mod_gnutls/,0,5,4020,C,Apache License 2.0,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,No recent development activity,582,,,1,0,0,10,"Website points: 0, CVE: 1, 12-month contributor: 5, Popularity: 0, Language: 2, Exposure: 2 , Data only: 0","This is in widespread use for SSL/TLS on webservers; it uses GnuTLS instead of OpenSSL.  Old website http://www.outoforder.cc/projects/apache/mod_gnutls/ points to newer site ""https://mod.gnutls.org/?outoforder-ref"".  At newer site the mailing list has a few relevant postings/month, though the March 2015 postings raise concerns about dropped patches.  The bug tracker is badly spammed and one seems to be fixing/addressing it.  Last release 17-Feb-2014.  This looks like it badly needs help. +++"
